category,article_slug,title,url,pdf_path,review_path,code_path
social_sci,s41562-025-02318-y,Humans and neural networks show similar patterns of transfer and interference during continual learning,https://www.nature.com/articles/s41562-025-02318-y,output\social_sci\s41562-025-02318-y\pdf_papers/paper.pdf,output\social_sci\s41562-025-02318-y\supplementary_materials\Peer_Review_File.pdf,output\social_sci\s41562-025-02318-y\code\transfer-interference.zip
social_sci,s41562-025-02320-4,Mesoscale cortical mechanisms of perceptual conflict resolution in binocular rivalry,https://www.nature.com/articles/s41562-025-02320-4,output\social_sci\s41562-025-02320-4\pdf_papers/paper.pdf,output\social_sci\s41562-025-02320-4\supplementary_materials\Peer_Review_File.pdf,output\social_sci\s41562-025-02320-4\code\mripy.zip
social_sci,s41562-025-02327-x,The human brain modulates sniffs according to fine-grained perceptual features of odours,https://www.nature.com/articles/s41562-025-02327-x,output\social_sci\s41562-025-02327-x\pdf_papers/paper.pdf,output\social_sci\s41562-025-02327-x\supplementary_materials\Peer_Review_File.pdf,output\social_sci\s41562-025-02327-x\code\SFP.zip
social_sci,s41562-025-02340-0,A habit and working memory model as an alternative account of human reward-based learning,https://www.nature.com/articles/s41562-025-02340-0,output\social_sci\s41562-025-02340-0\pdf_papers/paper.pdf,output\social_sci\s41562-025-02340-0\supplementary_materials\Peer_Review_File.pdf,output\social_sci\s41562-025-02340-0\code\WMH.zip
social_sci,s41562-025-02348-6,Addressing low statistical power in computational modelling studies in psychology and neuroscience,https://www.nature.com/articles/s41562-025-02348-6,output\social_sci\s41562-025-02348-6\pdf_papers/paper.pdf,output\social_sci\s41562-025-02348-6\supplementary_materials\Peer_Review_File.pdf,output\social_sci\s41562-025-02348-6\code\power_computational_studies.zip
social_sci,s41562-025-02356-6,Multidisciplinary analyses and ancient DNA reveal social inequality and mobility in the Central Plains during the Eastern Zhou period in China,https://www.nature.com/articles/s41562-025-02356-6,output\social_sci\s41562-025-02356-6\pdf_papers/paper.pdf,output\social_sci\s41562-025-02356-6\supplementary_materials\Peer_Review_File.pdf,output\social_sci\s41562-025-02356-6\code\sequenceTools.zip
social_sci,s41562-025-02360-w,Multimodal large language models can make context-sensitive hate speech evaluations aligned with human judgement,https://www.nature.com/articles/s41562-025-02360-w,output\social_sci\s41562-025-02360-w\pdf_papers/paper.pdf,output\social_sci\s41562-025-02360-w\supplementary_materials\Peer_Review_File.pdf,output\social_sci\s41562-025-02360-w\code\multimodal-llms-for-content-moderation-replication.zip
social_sci,s41562-025-02362-8,Large-scale mega-analysis indicates that serial dependence deteriorates perceptual decision-making,https://www.nature.com/articles/s41562-025-02362-8,output\social_sci\s41562-025-02362-8\pdf_papers/paper.pdf,output\social_sci\s41562-025-02362-8\supplementary_materials\Peer_Review_File.pdf,output\social_sci\s41562-025-02362-8\code\Large-scale-mega-analysis-on-serial-dependence.zip
social_sci,s41562-025-02365-5,"State formation across cultures and the role of grain, intensive agriculture, taxation and writing",https://www.nature.com/articles/s41562-025-02365-5,output\social_sci\s41562-025-02365-5\pdf_papers/paper.pdf,output\social_sci\s41562-025-02365-5\supplementary_materials\Peer_Review_File.pdf,output\social_sci\s41562-025-02365-5\code\global-language-tree-pipeline.zip
social_sci,s41562-025-02379-z,Spatial contexts with reliable neural representations support reinstatement of subsequently placed objects,https://www.nature.com/articles/s41562-025-02379-z,output\social_sci\s41562-025-02379-z\pdf_papers/paper.pdf,output\social_sci\s41562-025-02379-z\supplementary_materials\Peer_Review_File.pdf,output\social_sci\s41562-025-02379-z\code\MemoryPalaceReliability.zip
